CASENUM	VEH_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	PVE_Forms	PNUMOCCS	PMONTH	PHOUR	PMINUTE	PHARM_EV	PMAN_COLL	PTYPE	PHIT_RUN	PMAKE	PMODEL	PBODYTYP	PMODYEAR	PVIN	PTRAILER	PMCARR_I1	PMCARR_I2	PMCARR_ID	PGVWR	PV_CONFIG	PCARGTYP	PHAZ_INV	PHAZPLAC	PHAZ_ID	PHAZ_CNO	PHAZ_REL	PBUS_USE	PSP_USE	PEM_USE	PIMPACT1	PVEH_SEV	PTOWED	PM_HARM	PVEH_SC1	PVEH_SC2	PFIRE
201210714729	2	101.11004	1	6	7	3	1	1	0	3	2	40	14	0	2	0	7	442	20	2000	1B4GP44RXYB7	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	1	14	0	0	0
201210714739	3	50.55502	1	5	7	3	1	2	0	3	5	45	12	7	2	0	49	402	14	2008	JTMZD33V5850	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	1	14	0	0	0
201210714786	2	221.36985	1	4	13	3	1	1	0	3	17	8	14	0	2	0	7	402	14	1998	1B4HS28Y4WF1	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	1	14	0	0	0
201210714947	2	224.172	1	4	1	3	1	1	0	3	20	25	14	0	2	0	35	43	4	2009	3N1AB61E49L6	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	1	14	0	0	0
201210714947	3	224.172	1	4	1	3	1	1	0	3	20	25	14	0	2	0	97	997	98	9998	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	98	8	8	14	0	0	0
201210714947	4	224.172	1	4	1	3	1	1	0	3	20	25	14	0	2	0	97	997	98	9998	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	98	8	1	14	0	0	0
201210715024	3	43.720116	1	5	21	3	1	2	0	3	8	20	54	11	2	0	42	43	4	2000	WDBNG70J9YA1	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	63	6	2	14	0	0	0
201210715024	4	43.720116	1	5	21	3	1	2	0	3	8	20	54	11	2	0	22	403	14	2008	2CKDL6376860	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	1	14	0	0	0
201210715045	2	218.60058	1	4	21	3	1	1	0	3	22	35	14	0	2	0	58	421	15	2005	5N3AA08C75N8	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	8	1	14	0	0	0
201210715121	2	226.493712	1	4	16	3	1	1	0	3	15	40	14	0	2	0	2	499	19	2011	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	1	14	0	0	0
201210715253	2	51.652965	1	5	13	3	1	1	0	3	13	44	31	0	2	0	54	421	15	2005	2HNYD18865H5	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	62	6	2	14	0	0	0
201210715357	3	2.4908	1	1	1	3	1	2	0	4	23	15	12	6	2	0	35	39	4	2001	JN1CA31D11T6	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	1	12	0	0	0
201210715380	1	226.493712	1	4	16	3	1	1	1	4	16	15	14	0	2	0	13	1	4	2007	1LNHM83WX7Y6	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	1	12	0	0	0
201210715472	1	5.055502	1	2	7	3	1	1	0	4	5	0	45	0	4	0	84	881	62	2001	1HTSCAAL41H3	0	77	777777777	77777777777	2	1	98	1	0	0	0	0	0	0	0	6	8	1	12	0	0	0
